#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -0.950000   0.31046956E+00   0.34855268E+00   0.30740491E+00   0.83245443E-02   0.00000000E+00   0.33949879E-02   0.30799063E+00   0.48294430E-02
       -0.933333   0.31422787E+00   0.34957601E+00   0.31123372E+00   0.82184374E-02   0.00000000E+00   0.33529658E-02   0.31185945E+00   0.47565865E-02
       -0.916667   0.31783408E+00   0.35059708E+00   0.31492875E+00   0.81002431E-02   0.00000000E+00   0.33116438E-02   0.31558070E+00   0.46754297E-02
       -0.900000   0.32128915E+00   0.35161680E+00   0.31849177E+00   0.79716065E-02   0.00000000E+00   0.32709791E-02   0.31915465E+00   0.45874080E-02
       -0.883333   0.32459504E+00   0.35263571E+00   0.32192547E+00   0.78343749E-02   0.00000000E+00   0.32311073E-02   0.32258276E+00   0.44942412E-02
       -0.866667   0.32775467E+00   0.35365394E+00   0.32523339E+00   0.76905626E-02   0.00000000E+00   0.31923407E-02   0.32586757E+00   0.43978801E-02
       -0.850000   0.33077175E+00   0.35467135E+00   0.32841974E+00   0.75423121E-02   0.00000000E+00   0.31551575E-02   0.32901256E+00   0.43004403E-02
       -0.833333   0.33365062E+00   0.35568752E+00   0.33148926E+00   0.73918574E-02   0.00000000E+00   0.31201798E-02   0.33202201E+00   0.42041273E-02
       -0.816667   0.33639615E+00   0.35670183E+00   0.33444709E+00   0.72414889E-02   0.00000000E+00   0.30881410E-02   0.33490085E+00   0.41111609E-02
       -0.800000   0.33901357E+00   0.35771346E+00   0.33729858E+00   0.70935229E-02   0.00000000E+00   0.30598447E-02   0.33765452E+00   0.40237041E-02
       -0.783333   0.34150841E+00   0.35872144E+00   0.34004917E+00   0.69502730E-02   0.00000000E+00   0.30361185E-02   0.34028879E+00   0.39438007E-02
       -0.766667   0.34388630E+00   0.35972465E+00   0.34270423E+00   0.68140234E-02   0.00000000E+00   0.30177681E-02   0.34280963E+00   0.38733265E-02
       -0.750000   0.34615294E+00   0.36072186E+00   0.34526894E+00   0.66869997E-02   0.00000000E+00   0.30055361E-02   0.34522309E+00   0.38139531E-02
       -0.733333   0.34831399E+00   0.36171173E+00   0.34774818E+00   0.65713350E-02   0.00000000E+00   0.30000706E-02   0.34753518E+00   0.37671260E-02
       -0.716667   0.35037499E+00   0.36269282E+00   0.35014641E+00   0.64690281E-02   0.00000000E+00   0.30019039E-02   0.34975172E+00   0.37340533E-02
       -0.700000   0.35234132E+00   0.36366365E+00   0.35246760E+00   0.63818916E-02   0.00000000E+00   0.30114422E-02   0.35187831E+00   0.37157033E-02
       -0.683333   0.35421814E+00   0.36462268E+00   0.35471517E+00   0.63114906E-02   0.00000000E+00   0.30289635E-02   0.35392024E+00   0.37128073E-02
       -0.666667   0.35601038E+00   0.36556835E+00   0.35689195E+00   0.62590760E-02   0.00000000E+00   0.30546190E-02   0.35588242E+00   0.37258668E-02
       -0.650000   0.35772267E+00   0.36649909E+00   0.35900017E+00   0.62255176E-02   0.00000000E+00   0.30884366E-02   0.35776933E+00   0.37551614E-02
       -0.633333   0.35935936E+00   0.36741337E+00   0.36104146E+00   0.62112453E-02   0.00000000E+00   0.31303236E-02   0.35958504E+00   0.38007602E-02
       -0.616667   0.36092451E+00   0.36830969E+00   0.36301688E+00   0.62162060E-02   0.00000000E+00   0.31800676E-02   0.36133318E+00   0.38625347E-02
       -0.600000   0.36242186E+00   0.36918664E+00   0.36492697E+00   0.62398455E-02   0.00000000E+00   0.32373372E-02   0.36301691E+00   0.39401748E-02
       -0.583333   0.36385483E+00   0.37004289E+00   0.36677182E+00   0.62811180E-02   0.00000000E+00   0.33016839E-02   0.36463901E+00   0.40332088E-02
       -0.566667   0.36522657E+00   0.37087722E+00   0.36855113E+00   0.63385237E-02   0.00000000E+00   0.33725450E-02   0.36620183E+00   0.41410259E-02
       -0.550000   0.36653991E+00   0.37168853E+00   0.37026434E+00   0.64101737E-02   0.00000000E+00   0.34492510E-02   0.36770740E+00   0.42629017E-02
       -0.533333   0.36779741E+00   0.37247586E+00   0.37191069E+00   0.64938723E-02   0.00000000E+00   0.35310341E-02   0.36915740E+00   0.43980245E-02
       -0.516667   0.36900134E+00   0.37323837E+00   0.37348934E+00   0.65872115E-02   0.00000000E+00   0.36170413E-02   0.37055327E+00   0.45455208E-02
       -0.500000   0.37015376E+00   0.37397538E+00   0.37499945E+00   0.66876678E-02   0.00000000E+00   0.37063480E-02   0.37189620E+00   0.47044791E-02
       -0.483333   0.37125647E+00   0.37468631E+00   0.37644028E+00   0.67926955E-02   0.00000000E+00   0.37979740E-02   0.37318723E+00   0.48739696E-02
       -0.466667   0.37231106E+00   0.37537071E+00   0.37781124E+00   0.68998088E-02   0.00000000E+00   0.38908992E-02   0.37442725E+00   0.50530598E-02
       -0.450000   0.37331894E+00   0.37602826E+00   0.37911197E+00   0.70066518E-02   0.00000000E+00   0.39840803E-02   0.37561706E+00   0.52408241E-02
       -0.433333   0.37428136E+00   0.37665868E+00   0.38034235E+00   0.71110516E-02   0.00000000E+00   0.40764667E-02   0.37675739E+00   0.54363486E-02
